title,year,duration,rating,director,movie_url
Fanny and Alexander,1982,3h 8min,8.1,Ingmar Bergman,https://www.imdb.com/title/tt0083922/
Fitzcarraldo,1982,2h 38min,8.1,Werner Herzog,https://www.imdb.com/title/tt0083946/
The Thing,1982,1h 49min,8.1,John Carpenter,https://www.imdb.com/title/tt0084787/
Blade Runner,1982,1h 57min,8.1,Ridley Scott,https://www.imdb.com/title/tt0083658/
The Straight Story,1999,1h 52min,8,David Lynch,https://www.imdb.com/title/tt0166896/
The Tale of The Princess Kaguya,2013,2h 17min,8,Isao Takahata,https://www.imdb.com/title/tt2576852/
The Exterminating Angel,1962,1h 35min,8.1,Luis Buñuel,https://www.imdb.com/title/tt0056732/
Perfect Blue,1997,1h 21min,8,Satoshi Kon,https://www.imdb.com/title/tt0156887/
"IMDb ""Top 1000""
(Sorted by IMDb Rating Descending)",,,,,"https://www.imdb.com/search/title/?groups=top_1000&sort=user_rating,desc&count=100&start=401"
Central Station,1998,1h 50min,8,Walter Salles,https://www.imdb.com/title/tt0140888/
Donnie Darko,2001,1h 53min,8,Richard Kelly,https://www.imdb.com/title/tt0246578/
Magnolia,1999,3h 8min,8,Paul Thomas Anderson,https://www.imdb.com/title/tt0175880/
My Sassy Girl,2001,2h 17min,8,Jae-young Kwak,https://www.imdb.com/title/tt0293715/
Vizontele,2001,1h 50min,8,Yilmaz Erdogan,https://www.imdb.com/title/tt0270053/
Big Fish,2003,2h 5min,8,Tim Burton,https://www.imdb.com/title/tt0319061/
The Incredibles,2004,1h 55min,8,Brad Bird,https://www.imdb.com/title/tt0317705/
Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23min,8,Gore Verbinski,https://www.imdb.com/title/tt0325980/
Dancer in the Dark,2000,2h 20min,8,Lars von Trier,https://www.imdb.com/title/tt0168629/
The Sea Inside,2004,2h 6min,8,Alejandro Amenábar,https://www.imdb.com/title/tt0369702/
Infernal Affairs,2002,1h 41min,8,Andrew Lau,https://www.imdb.com/title/tt0338564/
"Spring, Summer, Fall, Winter... and Spring",2003,1h 43min,8,Kim Ki-duk,https://www.imdb.com/title/tt0374546/
Cinderella Man,2005,2h 24min,8,Ron Howard,https://www.imdb.com/title/tt0352248/
Kill Bill: Vol. 2,2004,2h 17min,8,Quentin Tarantino,https://www.imdb.com/title/tt0378194/
The Return,2003,1h 50min,8,Andrey Zvyagintsev,https://www.imdb.com/title/tt0376968/
Dogville,2003,2h 58min,8,Lars von Trier,https://www.imdb.com/title/tt0276919/
"IMDb ""Top 1000""
(Sorted by IMDb Rating Descending)",,,,,"https://www.imdb.com/search/title/?groups=top_1000&sort=user_rating,desc&count=100&start=501"
Boyhood,2014,2h 45min,7.9,Richard Linklater,https://www.imdb.com/title/tt1065073/
District 9,2009,1h 52min,7.9,Neill Blomkamp,https://www.imdb.com/title/tt1136608/
The Wrestler,2008,1h 49min,7.9,Darren Aronofsky,https://www.imdb.com/title/tt1125849/
Jab We Met,2007,2h 18min,7.9,Imtiaz Ali,https://www.imdb.com/title/tt1093370/
A Prophet,2009,2h 35min,7.9,Jacques Audiard,https://www.imdb.com/title/tt1235166/
Amour,2012,2h 7min,7.9,Michael Haneke,https://www.imdb.com/title/tt1602620/
Let the Right One In,2008,1h 54min,7.9,Tomas Alfredson,https://www.imdb.com/title/tt1139797/
Edge of Tomorrow,2014,1h 53min,7.9,Doug Liman,https://www.imdb.com/title/tt1631867/
The Perks of Being a Wallflower,2012,1h 43min,7.9,Stephen Chbosky,https://www.imdb.com/title/tt1659337/
The Artist,2011,1h 40min,7.9,Michel Hazanavicius,https://www.imdb.com/title/tt1655442/
Bohemian Rhapsody,2018,2h 14min,7.9,Bryan Singer,https://www.imdb.com/title/tt1727824/
Once Upon a Time in Anatolia,2011,2h 37min,7.9,Nuri Bilge Ceylan,https://www.imdb.com/title/tt1827487/
Before Midnight,2013,1h 49min,7.9,Richard Linklater,https://www.imdb.com/title/tt2209418/
Arrival,2016,1h 56min,7.9,Denis Villeneuve,https://www.imdb.com/title/tt2543164/
Loving Vincent,2017,1h 34min,7.8,Dorota Kobiela,https://www.imdb.com/title/tt3262342/
Harold and Maude,1971,1h 31min,7.9,Hal Ashby,https://www.imdb.com/title/tt0067185/
X-Men: Days of Future Past,2014,2h 12min,7.9,Bryan Singer,https://www.imdb.com/title/tt1877832/
Jojo Rabbit,2019,1h 48min,7.9,Taika Waititi,https://www.imdb.com/title/tt2584384/
"IMDb ""Top 1000""
(Sorted by IMDb Rating Descending)",,,,,"https://www.imdb.com/search/title/?groups=top_1000&sort=user_rating,desc&count=100&start=601"
Star Wars: Episode VII - The Force Awakens,2015,2h 18min,7.8,J.J. Abrams,https://www.imdb.com/title/tt2488496/
Nightcrawler,2014,1h 57min,7.8,Dan Gilroy,https://www.imdb.com/title/tt2872718/
Pride,2014,1h 59min,7.8,Matthew Warchus,https://www.imdb.com/title/tt3169706/
Little Women,2019,2h 15min,7.8,Greta Gerwig,https://www.imdb.com/title/tt3281548/
Captain America: Civil War,2016,2h 27min,7.8,Anthony Russo,https://www.imdb.com/title/tt3498820/
Land of Mine,2015,1h 40min,7.8,Martin Zandvliet,https://www.imdb.com/title/tt3841424/
The Hateful Eight,2015,2h 48min,7.8,Quentin Tarantino,https://www.imdb.com/title/tt3460252/
Manchester by the Sea,2016,2h 17min,7.8,Kenneth Lonergan,https://www.imdb.com/title/tt4034228/
Rogue One: A Star Wars Story,2016,2h 13min,7.8,Gareth Edwards,https://www.imdb.com/title/tt3748528/
Perfect Strangers,2016,1h 36min,7.8,Paolo Genovese,https://www.imdb.com/title/tt4901306/
Paddington 2,2017,1h 43min,7.8,Paul King,https://www.imdb.com/title/tt4468740/
Udta Punjab,2016,2h 28min,7.8,Abhishek Chaubey,https://www.imdb.com/title/tt4434004/
Kubo and the Two Strings,2016,1h 41min,7.8,Travis Knight,https://www.imdb.com/title/tt4302938/
Dunkirk,2017,1h 46min,7.8,Christopher Nolan,https://www.imdb.com/title/tt5013056/
Hidden Figures,2016,2h 7min,7.8,Theodore Melfi,https://www.imdb.com/title/tt4846340/
The Great Beauty,2013,2h 21min,7.8,Paolo Sorrentino,https://www.imdb.com/title/tt2358891/
The Salesman,2016,2h 4min,7.8,Asghar Farhadi,https://www.imdb.com/title/tt5186714/
The Day of the Jackal,1973,2h 23min,7.8,Fred Zinnemann,https://www.imdb.com/title/tt0069947/
Fantastic Planet,1973,1h 12min,7.8,René Laloux,https://www.imdb.com/title/tt0070544/
The Outlaw Josey Wales,1976,2h 15min,7.8,Clint Eastwood,https://www.imdb.com/title/tt0075029/
"IMDb ""Top 1000""
(Sorted by IMDb Rating Descending)",,,,,"https://www.imdb.com/search/title/?groups=top_1000&sort=user_rating,desc&count=100&start=701"
Kramer vs. Kramer,1979,1h 45min,7.8,Robert Benton,https://www.imdb.com/title/tt0079417/
The Man Who Would Be King,1975,2h 9min,7.8,John Huston,https://www.imdb.com/title/tt0073341/
The Conversation,1974,1h 53min,7.8,Francis Ford Coppola,https://www.imdb.com/title/tt0071360/
Days of Heaven,1978,1h 34min,7.8,Terrence Malick,https://www.imdb.com/title/tt0077405/
The King of Comedy,1982,1h 49min,7.8,Martin Scorsese,https://www.imdb.com/title/tt0085794/
The Right Stuff,1983,3h 13min,7.8,Philip Kaufman,https://www.imdb.com/title/tt0086197/
The Color Purple,1985,2h 34min,7.8,Steven Spielberg,https://www.imdb.com/title/tt0088939/
The Goonies,1985,1h 54min,7.8,Richard Donner,https://www.imdb.com/title/tt0089218/
Ghostbusters,1984,1h 45min,7.8,Ivan Reitman,https://www.imdb.com/title/tt0087332/
The Breakfast Club,1985,1h 37min,7.8,John Hughes,https://www.imdb.com/title/tt0088847/
E.T. the Extra-Terrestrial,1982,1h 55min,7.8,Steven Spielberg,https://www.imdb.com/title/tt0083866/
The Killing Fields,1984,2h 21min,7.8,Roland Joffé,https://www.imdb.com/title/tt0087553/
Predator,1987,1h 47min,7.8,John McTiernan,https://www.imdb.com/title/tt0093773/
Badlands,1973,1h 34min,7.8,Terrence Malick,https://www.imdb.com/title/tt0069762/
Ferris Bueller's Day Off,1986,1h 43min,7.8,John Hughes,https://www.imdb.com/title/tt0091042/
Mississippi Burning,1988,2h 8min,7.8,Alan Parker,https://www.imdb.com/title/tt0095647/
Black Hawk Down,2001,2h 24min,7.7,Ridley Scott,https://www.imdb.com/title/tt0265086/
Back to the Future Part II,1989,1h 48min,7.8,Robert Zemeckis,https://www.imdb.com/title/tt0096874/
"IMDb ""Top 1000""
(Sorted by IMDb Rating Descending)",,,,,"https://www.imdb.com/search/title/?groups=top_1000&sort=user_rating,desc&count=100&start=801"
Adaptation.,2002,1h 55min,7.7,Spike Jonze,https://www.imdb.com/title/tt0268126/
Good Bye Lenin!,2003,2h 1min,7.7,Wolfgang Becker,https://www.imdb.com/title/tt0301357/
In America,2002,1h 45min,7.7,Jim Sheridan,https://www.imdb.com/title/tt0298845/
The Last Samurai,2003,2h 34min,7.7,Edward Zwick,https://www.imdb.com/title/tt0325710/
Man on Fire,2004,2h 26min,7.7,Tony Scott,https://www.imdb.com/title/tt0328107/
Finding Neverland,2004,1h 46min,7.7,Marc Forster,https://www.imdb.com/title/tt0308644/
Coraline,2009,1h 40min,7.7,Henry Selick,https://www.imdb.com/title/tt0327597/
The Magdalene Sisters,2002,1h 54min,7.7,Peter Mullan,https://www.imdb.com/title/tt0318411/
Harry Potter and the Goblet of Fire,2005,2h 37min,7.7,Mike Newell,https://www.imdb.com/title/tt0330373/
Lost in Translation,2003,1h 42min,7.7,Sofia Coppola,https://www.imdb.com/title/tt0335266/
The Machinist,2004,1h 41min,7.7,Brad Anderson,https://www.imdb.com/title/tt0361862/
Ray,2004,2h 32min,7.7,Taylor Hackford,https://www.imdb.com/title/tt0350258/
The Bourne Supremacy,2004,1h 48min,7.7,Paul Greengrass,https://www.imdb.com/title/tt0372183/
3:10 to Yuma,2007,2h 2min,7.7,James Mangold,https://www.imdb.com/title/tt0381849/
Kung Fu Hustle,2004,1h 39min,7.7,Stephen Chow,https://www.imdb.com/title/tt0373074/
Crash,2004,1h 52min,7.7,Paul Haggis,https://www.imdb.com/title/tt0375679/
Brokeback Mountain,2005,2h 14min,7.7,Ang Lee,https://www.imdb.com/title/tt0388795/
Victoria,2015,2h 18min,7.6,Sebastian Schipper,https://www.imdb.com/title/tt4226388/
Gifted,2017,1h 41min,7.6,Marc Webb,https://www.imdb.com/title/tt4481414/
Just Mercy,2019,2h 17min,7.6,Destin Daniel Cretton,https://www.imdb.com/title/tt4916630/
"IMDb ""Top 1000""
(Sorted by IMDb Rating Descending)",,,,,"https://www.imdb.com/search/title/?groups=top_1000&sort=user_rating,desc&count=100&start=901"
Loveless,2017,2h 7min,7.6,Andrey Zvyagintsev,https://www.imdb.com/title/tt6304162/
The Florida Project,2017,1h 51min,7.6,Sean Baker,https://www.imdb.com/title/tt5649144/
The Peanut Butter Falcon,2019,1h 37min,7.6,Tyler Nilson,https://www.imdb.com/title/tt4364194/
Searching,2018,1h 42min,7.6,Aneesh Chaganty,https://www.imdb.com/title/tt7668870/
Once Upon a Time... In Hollywood,2019,2h 41min,7.6,Quentin Tarantino,https://www.imdb.com/title/tt7131622/
Dark Waters,2019,2h 6min,7.6,Todd Haynes,https://www.imdb.com/title/tt9071322/
Gilda,1946,1h 50min,7.7,Charles Vidor,https://www.imdb.com/title/tt0038559/
The Day the Earth Stood Still,1951,1h 32min,7.7,Robert Wise,https://www.imdb.com/title/tt0043456/
The Invisible Man,1933,1h 11min,7.7,James Whale,https://www.imdb.com/title/tt0024184/
The 39 Steps,1935,1h 26min,7.7,Alfred Hitchcock,https://www.imdb.com/title/tt0026029/
Fantasia,1940,2h 5min,7.7,James Algar,https://www.imdb.com/title/tt0032455/
Sabrina,1954,1h 53min,7.7,Billy Wilder,https://www.imdb.com/title/tt0047437/
The Ladykillers,1955,1h 31min,7.7,Alexander Mackendrick,https://www.imdb.com/title/tt0048281/
The Magnificent Seven,1960,2h 8min,7.7,John Sturges,https://www.imdb.com/title/tt0054047/
Invasion of the Body Snatchers,1956,1h 20min,7.7,Don Siegel,https://www.imdb.com/title/tt0049366/
Lifeboat,1944,1h 37min,7.6,Alfred Hitchcock,https://www.imdb.com/title/tt0037017/
Peeping Tom,1960,1h 41min,7.7,Michael Powell,https://www.imdb.com/title/tt0054167/
Shane,1953,1h 58min,7.6,George Stevens,https://www.imdb.com/title/tt0046303/
From Here to Eternity,1953,1h 58min,7.6,Fred Zinnemann,https://www.imdb.com/title/tt0045793/
Breakfast at Tiffany's,1961,1h 55min,7.6,Blake Edwards,https://www.imdb.com/title/tt0054698/
