title,url,discounted_price,original_price
Authentic Dovpo Odin DNA250C 200W Box Mod - Brushed Gunmetal,https://www.cigabuy.com/authentic-dovpo-odin-dna250c-200w-box-mod-brushed-gunmetal-p-18896.html,$141.98,$196.80 
5pcs Authentic Uwell Crown 3 5ML Sub-Ohm Tank Atomizer - Blue,https://www.cigabuy.com/5pcs-authentic-uwell-crown-3-5ml-sub-ohm-tank-atomizer-blue-p-21143.html,$10.85,$18.03 
Authentic Dovpo Riva DNA250C Box Mod - Gunmetal Pure Gunmetal,https://www.cigabuy.com/authentic-dovpo-riva-dna250c-box-mod-gunmetal-pure-gunmetal-p-21053.html,$106.39,$149.69 
Authentic Eleaf iStick Power 2 80W MOD - Blue,https://www.cigabuy.com/authentic-eleaf-istick-power-2-80w-mod-blue-p-20758.html,$31.53,$32.93 
Authentic Uwell Caliburn Pod System 520mAh Kit - Black,https://www.cigabuy.com/authentic-uwell-caliburn-pod-system-520mah-kit-black-p-14097.html,$15.60,$32.04 
10 x Authentic VandyVape Vape Cotton Laces,https://www.cigabuy.com/10-x-authentic-vandyvape-vape-cotton-laces-p-16387.html,$1.19,$4.43 
Authentic Geekvape Wenax Stylus Pod Starter Kit - Space Gray,https://www.cigabuy.com/authentic-geekvape-wenax-stylus-pod-starter-kit-space-gray-p-19299.html,$13.60,$23.84 
3 x Authentic Wotofo H12 CLAPTON MESH COIL 0.20ohm,https://www.cigabuy.com/3-x-authentic-wotofo-h12-clapton-mesh-coil-020ohm-p-19864.html,$6.89,$16.26 
Authentic Ehpro Cold Steel 100 120W TC Box Mod - Black Obsidian,https://www.cigabuy.com/authentic-ehpro-cold-steel-100-120w-tc-box-mod-black-obsidian-p-15781.html,$37.02,$63.74 
10 x Authentic Wotofo Dual Core Fused Clapton Prebuilt Wire 0.62ohm,https://www.cigabuy.com/10-x-authentic-wotofo-dual-core-fused-clapton-prebuilt-wire-062ohm-p-14310.html,$2.98,$4.49 
Authentic Uwell Caliburn G POD kit - Rosy Brown,https://www.cigabuy.com/authentic-uwell-caliburn-g-pod-kit-rosy-brown-p-19940.html,$21.03,$32.51 
Authentic Uwell Aeglos Pod Kit - Red,https://www.cigabuy.com/authentic-uwell-aeglos-pod-kit-red-p-20288.html,$15.49,$40.06 
Authentic Wotofo The Troll X RTA - Black,https://www.cigabuy.com/authentic-wotofo-the-troll-x-rta-black-p-20654.html,$22.98,$37.87 
